IIT-BBSR,Bhubhaneswar,Odisha,Govt.,CSE;ETC;EE;MECH;CIVIL;ARCH
IIIT-BBSR,Bhubhaneswar,Odisha,Govt.,CSE;ETC
KIIT,Bhubhaneswar,Odisha,PVT.,CSE;ETC;EE;MECH;CIVIL;ARCH
CET,Bhubhaneswar,Odisha,Govt.,CSE;EI;EE;MECH;CIVIL
AIIMS,Delhi,Delhi,Govt.,MEDICINE;DENTAL
ITER,Bhubhaneswar,Odisha,PVT.,CSE;ETC;EE;MECH
VSSUT ,Burla,Odisha,Govt.,CSE;ETC;EE;EEE;MECH;CHEM
PMEC,Berhampur,Odisha,Govt.,ETC;EE
BIMTECH,Bhubhaneswar,Odisha,PVT.,MANAGEMENT;BBA
NID,Ahmedabad,Gujrat,Govt.,FASHION;DESIGN
IISC-B,Bangalore,Karnataka,Govt.,Pure Science
